id,url,old_rank,new_rank
1,https://www.nmims.edu,1.344535562,1.221824578
2,https://www.nmims.edu/about,1,1
3,https://www.nmims.edu/chancellor,1.346168487,1.223304806
4,https://www.nmims.edu/vice-chancellor,1.346168487,1.223304806
5,https://www.nmims.edu/administration-team,1,1
6,https://www.nmims.edu/admission,1,1
7,https://www.nmims.edu/under-graduate,1.354062091,1.230460142
8,https://www.nmims.edu/post-graduate,1.351740248,1.228355477
9,https://www.nmims.edu/integrated-programs,1.349128369,1.225987882
10,https://www.nmims.edu/doctorate-programs,1.352934318,1.22943786
11,https://www.nmims.edu/diploma-certificate-programs,1,1
12,https://www.nmims.edu/institutes,1.346168487,1.223304806
13,https://www.nmims.edu/campuses,1,1
14,https://www.nmims.edu/mumbaicampus,1.346168487,1.223304806
15,https://www.nmims.edu/shirpurcampus,1.346168487,1.223304806
16,https://www.nmims.edu/bengalurucampus,1,1
17,https://www.nmims.edu/hyderabadcampus,1,1
18,https://www.nmims.edu/indorecampus,1.346168487,1.223304806
19,https://www.nmims.edu/navimumbaicampus,1.346168487,1.223304806
20,https://www.nmims.edu/dhulecampus,1.346168487,1.223304806
21,https://www.nmims.edu/centers,1.346168487,1.223304806
22,https://www.nmims.edu/awards,1.346168487,1.223304806
23,https://www.nmims.edu/research,1.350473857,1.227207532
24,https://www.nmims.edu/contact,1.346168487,1.223304806
25,https://www.nmims.edu/corporate-interface,1,1
26,https://www.nmims.edu/students,1,1
27,https://www.nmims.edu/hydrabadcampus,1,1
28,https://www.nmims.edu/faculty-and-staff,1.346168487,1.223304806
29,https://www.nmims.edu/international,1.346168487,1.223304806
30,https://www.nmims.edu/news,1.346168487,1.223304806
31,https://www.nmims.edu/reports-and-plans,1.346168487,1.223304806
32,https://www.nmims.edu/nirf-nmims-data,1.346168487,1.223304806
33,https://www.nmims.edu/naac-report,1.847840783,1.769799125
34,https://www.nmims.edu/iqac,1.346168487,1.223304806
36,https://www.nmims.edu/department-of-welfare,1,1
37,https://www.nmims.edu/education-loan,1.346168487,1.223304806
38,https://www.nmims.edu/payments/final/dataFrom.php,1,1
39,https://www.nmims.edu/mandatory-disclosure,1.349128369,1.225987882
40,https://www.nmims.edu/education-verification,1.346168487,1.223304806
41,https://www.nmims.edu/application-for-e-transcript-delivery,1.346168487,1.223304806
42,https://www.nmims.edu/ https:/www.nmims.edu/nmims-old-website/students/campus-life/hostel-application-form,1,1
43,https://www.nmims.edu/docs/Facility management.pdf,1,1
44,https://www.nmims.edu/sitemap,1,1
45,https://www.nmims.edu/disclaimer,1,1
46,https://www.nmims.edu/privacy-policy.php,1.346168487,1.223304806
47,https://www.nmims.edu/nmims-old-website,4.230205689,4.585082811
48,https://www.nmims.edu/research-management,0.043084429,0.039051694
49,https://www.nmims.edu/research-commerce,1,1
50,https://www.nmims.edu/research-engineering,0.043084429,0.039051694
51,https://www.nmims.edu/research-science,1,1
52,https://www.nmims.edu/research-pharmacy,1,1
53,https://www.nmims.edu/research-economics,0.043084429,0.039051694
54,https://www.nmims.edu/integrated-management,0.045893859,0.041594847
55,https://www.nmims.edu/integrated-engineering,0.044429916,0.040271344
56,https://www.nmims.edu/integrated-pharmacy,1,1
57,https://www.nmims.edu/integrated-science,1,1
58,https://www.nmims.edu/press-room,1,1
59,https://www.nmims.edu/docs/IQAC minutes Feb 2019.pdf,1,1
60,https://www.nmims.edu/docs/IQAC minutes Feb 2018.pdf,1,1
61,https://www.nmims.edu/docs/Resolution of formation of IQAC.pdf,1,1
62,https://www.nmims.edu/docs/IQAC minutes Aug 2018.pdf,1,1
63,https://www.nmims.edu/docs/IQAC minutes Nov 2017.pdf,1,1
67,https://www.nmims.edu/docs/SCHOLAR LOAN NMIMS.pdf,1,1
68,https://www.nmims.edu/docs/ONE PAGER NMIMS for all.pdf,1,1
69,https://www.nmims.edu/docs/NMIMS_ICICI EL Offer.pdf,1,1
72,https://www.nmims.edu/docs/ffsil-education-loan-nmims.pdf,1,1
75,https://www.nmims.edu/docs/Final AQAR report submitted 24th Dec 2019.pdf,1,1
81,https://www.nmims.edu/docs/atr-with-annexure.pdf,1,1
84,https://www.nmims.edu/docs/iqac_report-2012-13.pdf,1,1
86,https://www.nmims.edu/docs/iqac_report-2008-09.pdf,1,1
89,https://www.nmims.edu/undergraduate-engineering,1,1
90,https://www.nmims.edu/undergraduate-pharmacy,0.039496194,0.035799084
91,https://www.nmims.edu/undergraduate-architecture,0.039496194,0.035799084
92,https://www.nmims.edu/undergraduate-science,1,1
93,https://www.nmims.edu/undergraduate-commerce,1,1
94,https://www.nmims.edu/undergraduate-economics,0.039496194,0.035799084
95,https://www.nmims.edu/undergraduate-law,0.039496194,0.035799084
96,https://www.nmims.edu/undergraduate-liberalarts,1,1
97,https://www.nmims.edu/undergraduate-design,1,1
98,https://www.nmims.edu/undergraduate-performingarts,0.039496194,0.035799084
